id,text_raw,text_clean
2189,Casuals still thinking jones wouldnt didmantle aspinall...😂😂,casuals still thinking jones wouldnt didmantle aspinall 😂😂
2190,Can they f**k off with the drones. Jesus Christ.,can they f k off with the drones  jesus christ
2191,Ngannou vs Aspinall. They are the two best heavyweights and everyone knows it!,ngannou vs aspinall  they are the two best heavyweights and everyone knows it
2192,He did the right thing,he did the right thing
2193,"Jon doesn’t need to fight Tom it does absolutely nothing for him, Chael and Daniel are still salty lol",jon doesn t need to fight tom it does absolutely nothing for him  chael and daniel are still salty lol
2194,COWARD POOP DIKK,coward poop dikk
2195,"19:50 that shit scary, JJ could kill an average man in 1 minute",19 50 that shit scary  jj could kill an average man in 1 minute
2196,3:22   No and that's okay to say wth is wrong with people,3 22   no and that s okay to say wth is wrong with people
2197,He is revealing how trash he has always been,he is revealing how trash he has always been
2198,Did they photoshop DC Smiling for the TN?,did they photoshop dc smiling for the tn
2199,Love Nelk but this is by far the worst video in years.,love nelk but this is by far the worst video in years
2200,Why didn't you fight Francis years ago when you had the chance?,why didn t you fight francis years ago when you had the chance
2201,I can't believe they used stunt double instead of Chael,i can t believe they used stunt double instead of chael
2202,Yo jon is playing us right now this dude doing trt in Thailand he cycling right now. This dastardly is cheating us again why else did he go there? I think this fight will happen after jones is done cycling i think. No usada rules its prime time for him to do this,yo jon is playing us right now this dude doing trt in thailand he cycling right now  this dastardly is cheating us again why else did he go there  i think this fight will happen after jones is done cycling i think  no usada rules its prime time for him to do this
2203,"I’m sorry,

Jon Jones may lose a fight… someday…

But I doubt he’s AFRAID of another human being on this planet.","i m sorry 

jon jones may lose a fight  someday 

but i doubt he s afraid of another human being on this planet"
2204,"BC Whining again, we've watched UFC SCREW fighters over all the time. A fighter gets any form of leverage to get fair compensation and immediately all the talk about fair fighter compensation goes out the window.",bc whining again  we ve watched ufc screw fighters over all the time  a fighter gets any form of leverage to get fair compensation and immediately all the talk about fair fighter compensation goes out the window
2205,Full of poo 💩,full of poo 💩
2206,People wonder why he was so confident lol,people wonder why he was so confident lol
2207,Put more effort into getting out of the t bag than the hold.,put more effort into getting out of the t bag than the hold
